id;numero_compteur;type_compteur;date_abonnement;marque;statut
1;41304;42261;2022-08-27T05:46:04;b;false
2;86978;13690;2022-08-27T03:50:12;generating hierarchy;true
3;67691;69430;2022-08-26T20:12:59;c card;false
4;53727;2869;2022-08-26T16:42:03;Aquitaine;true
5;26200;5907;2022-08-27T11:39:51;Berkshire;false
6;68818;19927;2022-08-27T09:36:21;withdrawal Garden;false
7;70780;4084;2022-08-26T17:53:37;a b;true
8;43692;91857;2022-08-26T21:13:06;backing Plastic Mouffetard;true
9;39047;29026;2022-08-26T16:09:38;Loan;true
10;84039;29222;2022-08-26T19:10:23;Market generate;true
