id;code;date_dernier_releve;ancien_index;nouvel_index;date_limite_paiment;statut
1;best-of-breed Shirt;2022-08-27T06:37:39;1461;49743;2022-08-27T10:39:36;true
2;Health SQL cutting-edge;2022-08-27T02:58:02;30657;51730;2022-08-26T18:21:33;true
3;transparent Shoes input;2022-08-27T12:42:08;93571;83498;2022-08-26T21:52:19;true
4;Stagiaire;2022-08-26T19:39:12;9424;55068;2022-08-26T20:28:29;false
5;blue;2022-08-26T16:00:11;70157;13087;2022-08-26T21:00:20;false
6;Account;2022-08-27T12:43:14;31954;46199;2022-08-27T09:23:33;true
7;deposit web-readiness;2022-08-27T00:48:02;51413;45427;2022-08-26T22:53:26;false
8;Keyboard Auvergne;2022-08-27T09:23:08;760;74844;2022-08-27T03:50:02;true
9;black;2022-08-27T02:46:37;69511;52641;2022-08-26T20:02:07;false
10;b;2022-08-26T22:05:11;46049;55744;2022-08-26T23:52:03;false
