id;nom_site;longitude;latitude;date_instalation;profondeur_forage;hauteur;capacite;hauteur_sous_radier;type_paratonnerre;type_reservoir;capacite_reservoir
1;cohesive deposit;41586;15752;2022-08-26T14:22:16;92595;94474;78274;24408;quantify Tchad;Guatemala;10196
2;Saint-Marin;1117;26039;2022-08-27T13:08:33;73201;97381;94914;10626;web;incentivize Generic matrix;22
3;c Enterprise-wide;71879;31660;2022-08-27T02:21:44;86966;88829;74186;7677;coherent;system a reinvent;22829
4;Account Mouse;2020;95703;2022-08-26T19:21:37;43565;77147;89440;17043;open-source Concrete;Saint-Dominique Reactive;18514
5;Stagiaire;43223;62789;2022-08-26T19:04:51;52611;92911;74696;82160;deposit;b;25275
6;de Dollar generation;12435;59235;2022-08-26T14:29:08;22301;50444;39088;51087;rich;Reactive;12311
7;a Kids Investment;71027;85881;2022-08-27T02:01:51;82742;56561;7480;27827;Avon;Île-de-France;33386
8;Multi-tiered ivory;40883;30962;2022-08-26T18:17:24;12254;8430;7171;79171;Auto Incredible lavender;projection interface streamline;7570
9;la cross-platform Fresh;91324;15651;2022-08-27T07:46:19;31718;58043;96059;61318;CSS c;Advanced synthesizing c;21243
10;bandwidth;88744;42730;2022-08-27T13:18:36;64986;84036;30648;52215;copying;Investment homogeneous;3454
